0	光棍节 大 脱光 准 男女 朋友 情侣机 对对碰 搜狐 数码 三星 参考价格 元 电池容量 三星 是 一 款 备受 关注 的 [| 高端 手机 |] ， 其 搭载 了 一 颗 四核 高性能 处理器 ， 而且 用户 体验 也 更加 出色 ， 拥有 多 项 创新性 的 新技术 ， 在 各 方面 的 表现 它 都 得 非常 出色 ， 甚至 会 超越 的 表现 。 光棍节 大 脱光 准 男女 朋友 情侣机 对对碰  图 为 ： 三星 手机 图 为 ： 三星 手机 三星 的 设计 灵感 源于 水 和 鹅卵石 ， 外观 较为 圆润 ， 正面 搭载 了 英 × 像素 的 高清 屏幕 ， 显示 效果 相当 出众 。 正面 还 拥有 一 颗 万 像素 的 前置 摄像头 ， 用于 自拍 以及 视频 通话 。 光棍节 大 脱光 准 男女 朋友 情侣机 对对碰  图 为 ： 三星 手机 图 为 ： 三星 手机 三星 采用 了 系统 以及 最新 的 ， 搭载 了 四 核心 处理器 ， 主频 ， 运行 内存 。 手机 的 主 摄像头 为 万 像素 ， 可以 零 延迟 快速 对 焦 ， 真正 做到 “ 所见 即 所 拍 ” 。 此外 ， 三星 添加 了 语音 识别 、 等 众多 创新性 的 人 机 交互 技术 ， 在 “ 用户 体验 ” 上 有着 跨越式 的 提升 。 产品名称 三星 行货 销售 价格 元 点评 赢 [| 智能 手机 |] 大奖 满 评 ： 美女 撞 僵尸 安卓 精品 ： 松饼 骑士 江南 美女 的 性感 诱惑 精彩 推荐 原创 汉化 拍照 神器 让 你 的 变 单反 精品 休闲 游戏 续 作 宝石迷阵 本周 热门 游戏 更新 汇总 总 有 你 喜欢 的 爆料 ！ 传言 苹果 已经 开始 准备 生产 [| 手机 贴膜 |] 知 多少 ？ 详解 哪 种 类型 最 适合 你 教 你 解决 手机 内存 空间 不足 的 问题 近期 最 热门 的 五十 多 款 游戏 玩 爆 你 的 手机 《 葵花宝典 》 之 手机 设置 宝典 上 一 页 下 一 页 文本 导航 第 页 黑白配 第 页 摩托罗拉 摩托罗拉 第 页 行货 第 页 三星 蓝白 配 第 页 索尼 索尼 第 页 联想 乐 联想 乐 分享
1	仅 售 元 本周 降价 [| 智能 手机 |] 一览 搜狐 数码 三星 行货 降幅 ： 元 参考价格 ： 元 三星 是 一 款 高端 定位 的 出色 产品 ， 它 的 设计 出色 ， 拥有 两 块 英寸 的 屏幕 ， 并 搭载 了 双核 的 处理器 ， 在 性能 方面 无需 置疑 ， 而且 其 可以 支持 双模 双待 功能 ， 实用性 极 强 。 图 为 ： 三星 手机 图 为 ： 三星 手机 三星 的 外观 设计 和 区别 不大 ， 同样 是 采用 日韩 风范 儿 的 大 翻盖 造型 ， 同时 还 加入 了 内外 双屏 的 设计 ， 整体 看 上去 大气 十足 、 尊荣 不凡 ， 并且 该 机 的 两 块 屏幕 均 是 英寸 、 材质 的 触控 屏幕 ， 画面显示 效果 尤 为 细腻 ， 还 支持 多 点 触控 操作 。 图 为 ： 三星 手机 图 为 ： 三星 手机 三星 的 机身 上 内置 一 颗 万 [| 像素 摄像头 |] ， 还 配备 了 一 颗 主频 的 双核 芯 处理器 及 运行 内存 ， 则 为 。 此外 还 支持 双卡 双模 功能 。 产品名称 三星 行货 销售 价格 元 点评 赢 [| 智能 手机 |] 大奖 满 评 ： 美女 撞 僵尸 安卓 精品 ： 松饼 骑士 江南 美女 的 性感 诱惑 精彩 推荐 原创 汉化 拍照 神器 让 你 的 变 单反 精品 休闲 游戏 续 作 宝石迷阵 本周 热门 游戏 更新 汇总 总 有 你 喜欢 的 爆料 ！ 传言 苹果 已经 开始 准备 生产 [| 手机 贴膜 |] 知 多少 ？ 详解 哪 种 类型 最 适合 你 教 你 解决 手机 内存 空间 不足 的 问题 近期 最 热门 的 五十 多 款 游戏 玩 爆 你 的 手机 《 葵花宝典 》 之 手机 设置 宝典 上 一 页 文本 导航 第 页 诺基亚 第 页 三星 第 页 诺基亚 第 页 三星 第 页 第 页 三星 第 页 摩托罗拉 第 页 三星 分享
2	消息 称 电信 于 月 日 首发 补贴 力度 加大 搜狐 【 搜狐 消息 】 （ 文艺 ） 月 日 消息 ， 在 的 引入 问题 上 ， 国内 两 大 运营商 中国 电信 与 中国联通 开始 “ 赛跑 ” 。 据 中国 电信 内部 人士 透露 ， 目前 集团 到 省 公司 针对 销售 、 培训 和 适配 工作 已经 准备 完毕 。 预计 将 于 月 下旬 启动 用户 预定 工作 ， 初步 定于 月 日 左右 在 大陆 正式 开 售 ， 或 将 早 于 中国联通 的 月中 旬 。 在 套餐 补贴 方面 ， 该 人士 透露 ： “ 将 强于 之前 的 合约 补贴 力度 ” 。 就 在 上 周五 ， 中国 两 大 运营商 高层 先后 就 引入 问题 作出 了 表态 。 中国 电信 董事长 王晓初 在 接受 媒体 采访 时 公开 表示 ： “ 中国 电信 将 于 月底 或 月初 开始 向 市场 投放 苹果 手机 ” 。 中国联通 董事长 常小兵 当天 下午 对 媒体 称 ： “ 中国联通 有望 在 年底 前 开始 销售 苹果 ” 。 针对 是否 会 首先 开 售 的 问题 ， 常小兵 回应 表示 “ 目前 正在 接受 政府 检测 ， 一旦 获得 入网 许可 ， 我们 就 将 开始 销售 ” 。 在 此 之前 ， 国内 三 大 运营商 就 针对 问题 开始 争抢 用户 。 今年 月底 ， 北京 、 广东 等 移动 与 联通 地方 公司 就 开始 推出 针对 用户 的 卡 ， 以 争抢 入网 用户 。 随着 获得 国家 认证 和 国家 无线电 型号 核准 ， 苏州 电信 、 株洲 联通 、 台州 联通 等 多 地 运营商 纷纷 推出 预订 工作 。 据 消息 人士 透露 ， 因 正式 引入 还 需 通过 工 信 部 入网 许可证 。 而 按照 目前 情况 ， 月 下旬 工 信 部 设备 认证 中心 公布 此 消息 的 可能性 较 大 ， 随后 中国 电信 与 中国联通 将 启动 预售 工作 。 目前 ， 中国 电信 四川 网上 营业厅 及其 官方 微 博 则 均 发出 “ 将 在 国内 首 批 引入 ” 的 信息 。 来自 中国 电信 方面 的 信息 也 显示 ， 有关 的 各类 宣传 材料 已经 开始 印刷 ， 相关 销售 人员 也 已 来事 接受 培训 。 同时 ， 电信 客服 方面 也 推出 到货 电话 提醒 的 服务 。 多方 消息 指向 中国 电信 有望 抢 在 其他 两 家 运营商 之前 推出 。 但 中国联通 内部 [| 工作 人员 |] 称 ， 联通 与 苹果 合作 已 超过 三 年 ， 相关 的 销售 、 培训 和 渠道 工作 已 非常 通畅 。 中国联通 目前 是 苹果 在 大陆 销售 最大 的 渠道 ， 双方 对 合作 也 都 比较 满意 ， 因此 “ 早 几 天 晚 几 天 意义 不大 ” 。 分享
3	登陆 大陆 市场 在即 电信 联通 争抢 头筹 搜狐 和 中国 运营商 的 联姻 目前 仍 是 “ 犹 抱 琵琶 半 遮 面 ” 。 尽管 网上 针对 发布 日期 和 合约 计划 炒 得 沸沸扬扬 ， 但 中国 电信 、 中国联通 两 家 运营商 都 不 露 口风 。 在 这 厉兵秣马 的 当口 ， 双方 都 在 暗暗 较劲 ， 月底 、 月初 ， 将 成为 在 大陆 市场 上市 的 最 敏感 时刻 。 电信 ： 客服 勤学 知识 据 知情 人士 向 《 时报 》 记者 透露 ， 此前 中国 电信 高层 曾 在 美国 密会 苹果 库克 ， 谈话 内容 包括 、 标准 等 事宜 。 在 时代 落后 联通 数 月 的 电信 ， 显然 不 愿意 再 错失 的 先机 。 尽管 上海电信 相关 人士 坚称 ， 仍 未 收到 集团 公司 任何 关于 的 销售 计划 和 方案 ， 但 记者 从 苹果 授权 服务 部门 了解 到 ， 苹果公司 早 在 月中 旬 就 向 客服 人员 发放 了 的 知识点 ， 他们 正在 加紧 学习 ， 力争 尽快 熟悉 掌握 。 “ 一些 常规 知识点 和 差距 不大 ， 但是 硬件 方面 有 了 提升 和 变化 。 ” 据 服务 人员 分析 ， 与 当时 的 培训 周期 和 时间 节点 来 对照 ， 电信 版 的 上市 日期 可能 在 月初 。 对于 网上 曝光 的 “ 电信 版 版 合约 价 是 为 元 ， 年期 套餐 可 得 赠 机 ” 的 消息 ， 电信 方面 也 没有 公开 否认 。 从 月 日 起 ， 北京 苏宁电器 各 门店 已经 开始 接受 的 预订 ， 包含 电信 、 联通 两 个 版本 ， 也 预示 着 渐 行 渐近 。 联通 ： 合约 计划 遭 曝光 对于 的 营销 ， 联通 方面 也 已 摩拳擦掌 。 月初 ， 台州 联通 和 南充 联通 网上 营业厅 分别 发布 微 博 表示 ： 中国联通 将 在 月 日 左右 推出 预约 机 ， 的 合约 价 为 元 ， 选择 年期 元 套餐 可 免费 购机 ， 联通 全新 号段 也 在 全国 各地 陆续 上市 。 正当 大众 兴致勃勃 地 议论 此事 ， 中国联通 相关 部门 负责人 突然 否认 这 则 消息 ， 并 表示 ， 中国联通 内部 尚未 传达 的 具体 上市 时间 ， 该 传言 没有 任何 依据 。 台州 联通 和 南充 联通 也 删除 了 相关 微 博 。 业内人士 分析 ， 尽管 联通 否认 了 传闻 ， 但是 从 两 家 营业厅 非常 明确 而 一致 的 合约 计划 金额 以及 套餐 资费 来 看 ， 这些 高调 宣布 并非 空穴来风 。 “ 目前 来 看 ， 电信 和 联通 都 已经 做好 了 营销 的 最后 准备 ， 只 等 苹果 方面 给 出 最后 的 时间 节点 。 库克 此前 表示 将 会 在 月份 正式 在 中国大陆 地区 上市 。 基本 确信 ， 电信 版 和 联通 版 会 在 这 个 时间 节点 同步 上市 。 ” 上述 知情 人士 分析 。  电信 版 铁 定 支持 国际 漫游 最近 被 网友 质疑 的 “ 电信 版 无法 国际 漫游 ” 的 事件 ， 也 迅速 得到 了 电信 方面 的 回应 。 上海电信 总 工程师 室 的 专家 透露 ， 电信 版 支持 等 制式 ， 用户 在 国内 使用 网络 ， 在 国际 及 港澳 台 地区 漫游 时 可 使用 网络 ， 只要 在 出国 前 开通 国际 漫游 业务 ， 同时 使用 “ 天翼 国际 卡 ” ， 即可 实现 全球 无缝 漫游 。 分享
4	用户 反映 在 充电 时 自燃 获 赔 谷歌 眼镜 搜狐 数码 【 搜狐 数码 消息 】 月 日 消息 ， 国内 某 论坛 的 一 位 网友 日前 反映 ， 自己 的 平板 在 凌晨 充电 时 发生 自燃 ， 屋内 浓烟滚滚 ， 所幸 没有 造成 火灾 。 据悉 ， 这 台 设备 在 充电 时 使用 的 是 原配 充电器 ， 充电 时 长 小时 左右 。 移动 设备 在 充电 时 发生 爆炸 或 自燃 的 情况 时 有 发生 ， 虽然 人们 的 第一 反应 是 制造 缺陷 ， 但 最后 经 调查 发现 ， 原因 有时 是 用户 自己 的 失误 。 目前 ， 华硕 已经 收回 了 这部 发生 自燃 的 设备 ， 并 向 该 用户 免费 更换 了 最新 的 产品 ， 同时 赠送 谷歌 眼睛 一 副 。 （ ） 点评 赢 [| 智能 手机 |] 大奖 满 评 ： 美女 撞 僵尸 安卓 精品 ： 松饼 骑士 江南 美女 的 性感 诱惑 精彩 推荐 原创 汉化 拍照 神器 让 你 的 变 单反 精品 休闲 游戏 续 作 宝石迷阵 本周 热门 游戏 更新 汇总 总 有 你 喜欢 的 爆料 ！ 传言 苹果 已经 开始 准备 生产 [| 手机 贴膜 |] 知 多少 ？ 详解 哪 种 类型 最 适合 你 教 你 解决 手机 内存 空间 不足 的 问题 近期 最 热门 的 五十 多 款 游戏 玩 爆 你 的 手机 《 葵花宝典 》 之 手机 设置 宝典 分享
5	全球 经济 向 好 家电业 四季度 将 全面 复苏 搜狐 数码 最新 数据 显示 ， 今年 月 我国 家用电器 和 视听 设备 零售 总额 同 比 增长 ， 连续 两 个 月 维持 位数 增长 。 记者 采访 后 发现 ， 由于 全球 经济 渐 稳 ， 国内 市场 需求 增加 ， 业内 普遍 对 四季度 家电 销售 复苏 表示 乐观 。 苏宁电器 董秘 任 峻 向 记者 表示 ， 进入 四季度 以来 ， 公司 家电 销售 已 逐步 企 稳 回升 ， 预计 余下 两 个 月 将 延续 增长 势头 。 产业 在线 数据 显示 ， 月 冰箱 的 销量 同 比 增速 仍 领先 其他 行业 ， 达到 ， 其中 内 销 同 比 增长 达 万 台 ， 出口 与 去年 同期 持平 。 龙头 企业 青岛海尔 、 海信科龙 、 美的电器 等 月 整体 销售 情况 同 比 均 有 增长 ， 其中 美的 月 总 销售 同 比 增 逾 三 成 ， 成为 冰箱业 一 大 亮点 。 其次 ， 洗衣机 月 内 销 实现 年 内 首次 正 增长 ， 总 销售 同 比 增长 至 万 台 ， 出口 同 比 增长 。 招商 证券 分析师 纪敏 表示 ， 洗衣机 目前 的 人均 保有量 已经 较 高 ， 预计 不会 成为 未来 增长 的 亮点 。 另外 ， 若 撇 除 年初 的 春节 效应 ， 空调 月 总 销量 增速 首次 取得 正 增长 ， 内 销 同 比 增长 ， 较 月 提升 个 百分点 。 销售 情况 一直 较 好 的 [| 液晶 电视 |] 销量 同 比 基本 持平 ， 内 销 增长 达 万 台 。 “ 每年 第四 季度 是 黑色 家电 的 销售 旺季 ， 集团 电视 全年 销售 目标 为 万 台 ， 前 月 已经 完成 了 万 台 ， 相信 月 还 会 有 大幅 增长 。 ” 一 名 证券 事务 代表 告诉 记者 。 集团 月份 销售 数据 显示 ， 该 公司 单 月 电视 销量 达 约 万 台 ， 同 比 增长 近 四 成 ， 其中 背光源 [| 液晶 电视 |] 同 比 增长 另外 ， 空调 、 冰箱 、 洗衣机 产品 销量 同 比 增长 分别 为 、 、 。 对于 家电 销售 增速 喜人 ， 接受 采访 的 一 位 券商 分析师 认为 ， 由于 自 今年 三 季度 起 ， 房地产 成交量 出现 增长 迹象 ， 受 刚 需 拉动 ， 家电 销售 从 三 季度 开始 回暖 。 同时 ， 美国 大选 尘埃落定 ， 欧 债 危机 有 所 缓和 ， 欧美 经济 日趋 稳定 带动 全球 经济 向 好 ， 此外 行业 去年 销售 增速 基数 略 低 ， 由此 预测 四季度 家电 将 全面 复苏 。 分享
6	拆解 宏 最薄 触屏 本 竟 发现 三 大 秘密 搜狐 数码 第 页 最薄 触屏 本 ， 徒 有 其 表 还是 真 材 实 料 第 页 摸 起来 感觉 不 像 ， 底 壳 真 的 是 金属 吗 第 页 内部 结构 惊人 ， 电池 真实 容量 是 多少 第 页 品牌 决定 速度 ， [| 固态 硬盘 |] 由 哪家 提供 第 页 双 屏幕 排线 、 双 [| 散热 风扇 |] 分别 有 啥 用 第 页 主板 长 的 像 海马 ， 精密 程度 令 人 咂 舌 第 页 昂贵 背后 的 代价 ， 品质 与 成本 如何 平衡 ・ 整体 结构 ： 布局 紧密 但 电池容量 一般 宏 的 后盖 还是 比较 容易 拿下 的 ， 并 没有 太 多 的 卡扣 与 机身 相连 ， 实际上 取 下 后盖 的 时候 都 不 需要 拆机 撬棒 。 不过 需要 注意 的 是 散热 口 位置 卡扣 比较 脆弱 ， 用力 不当 会 比较 容易 断裂 ， 毕竟 这 一 块 是 塑料 材质 的 。 宏 拆解 移除 后盖 整个 内部 结构 一览无余 宏 拆解 右边 区域 （ 对应 正面 键盘 ） 宏 拆解 左边 区域 （ 对应 正面 键盘 ） 宏 拆解 拆机 的 首要 步骤 是 断开 电源 宏 拆解 电池 由 一 颗 螺丝 固定 ， 容量 为 宏 拆解 电池 正面 观摩 宏 拆除 后盖 剩余 的 整体 ， 各个 零部件 的 布局 还是 比较 清晰 明朗 的 。 主板 看 上去 不算 大 ， 并 配 有 两 个 [| 散热 风扇 |] ， 相比 之 下 电池 的 体积 就要 庞大 许多 。 受 机身 厚度 限制 这块 电池 做 得 比较 薄 ， 虽然 占用 面积 大 ， 但是 容量 方面 就 有些 吝啬 了 ， 仅 有的 电池容量 。 您 或许 对 这些 文章 有 兴趣 大牌 芯 配 独显 元 以下 超值 笔记本 盘点 发布 炫酷 双屏 超 极 本 图 英寸 评测 和 的 区别 上 一 页 下 一 页 文本 导航 第 页 最薄 触屏 本 ， 徒 有 其 表 还是 真 材 实 料 第 页 摸 起来 感觉 不 像 ， 底 壳 真 的 是 金属 吗 第 页 内部 结构 惊人 ， 电池 真实 容量 是 多少 第 页 品牌 决定 速度 ， [| 固态 硬盘 |] 由 哪家 提供 第 页 双 屏幕 排线 、 双 [| 散热 风扇 |] 分别 有 啥 用 第 页 主板 长 的 像 海马 ， 精密 程度 令 人 咂 舌 第 页 昂贵 背后 的 代价 ， 品质 与 成本 如何 平衡 分享
7	单身 必备 美的 经典 滚筒 “ 双 ” 热卖 搜狐 数码 末日 光棍节 已经 过去 ， 对于 许多 人士 而 言 ， 该 怎么样 还是 怎么样 ， 没有 另 一半 的 人 依然 过 着 自己 悠然自得 的 生活 。 至少 不 像 那些 脱离 了 单身 组织 的 人员 ， 却 过 着 洗 全家 衣服 、 照顾 老婆 孩子 的 悲惨 生活 。 每每 想到 那些 情景 ， 笔者 都 暗自 安慰 自己 ， 再 让 我 单身 几 年 吧 ！ 但 单身 也 要 过 得 潇洒 ， 也 要 过 得 体面 ， 这 款 美的 经典 滚筒 就是 单身 人士 最好 的 选择 ， 小巧 而且 价格 便宜 ， 能够 帮 你 轻松 料理 洗涤 的 家务 劳动 ， 让 你 活 得 光 鲜 亮丽 单身 必备 美的 经典 滚筒 “ 双 ” 热卖 这 款 美的 [| 滚筒 洗衣机 |] ， 采用 了 整体 瓷 白色 的 机身 ， 干净 整洁 ， × × 的 三维 机身 ， 也 不会 占用 太 多 地方 。 公斤 的 洗涤 容量 ， 虽然 不算 大 ， 但是 洗涤 普通 衣物类 ， 是 绝对 没有 问题 。 整体 机身 采用 高性能 的 改进 材料 注塑 成型 ， 具有 高 强度 、 耐高温 、 高 刚性 等 优点 。 单身 必备 美的 经典 滚筒 “ 双 ” 热卖 在 [| 控制 面板 |] 方面 ， 这 款 洗衣机 采用 了 简单 的 按钮 和 旋钮 搭配 ， 泡沫 控制 程序 ， 可 自动 感知 泡沫 的 丰富 程度 。 突破性 的 分钟 快 洗 程序 ， 可 通 随时 过 调整 洗涤 速度 、 力度 、 内筒 转动 节奏 ， 仅 需 分钟 就 完成 洗 、 漂 、 脱水 全过程 。 洗涤 方式 包括 标准 洗 、 化纤 洗 、 羊毛 洗 、 内衣 洗 、 强 洗 、 筒 洁净 等 。 单身 必备 美的 经典 滚筒 “ 双 ” 热卖 在 滚筒 方面 ， 特有 型 提升 筋 ， 有效 组合 捶打 、 摔打 、 雨 淋 三 种 洗涤 方式 ， 全方位 立体 洗涤 衣物 ， 将 洗涤 效果 发挥 极致 。 而且 高速 脱水 时 ， 如果 筒 内 的 衣物 分布 不 均匀 ， 洗衣机 会 智能 调整 脱水 转速 ， 确保 平稳 脱水 ， 避免 震荡 引起 的 噪音 和 机器 磨损 。 美的 产品类型 滚筒式 洗涤 容量 政策 补贴 节能 补贴 内筒 材料 不锈钢 显示屏 外形 设计 白色 外型尺寸 × × 编辑 点评 ： 这 款 美的 洗衣机 ， 以 低廉 的 价格 冲击 着 [| 波轮 洗衣机 |] 的 市场 。 相信 好多 消费者 ， 在 千 元 内 选择 话 ， 必定 会 首选 [| 滚筒 洗衣机 |] 。 毕竟 不 缠绕 ， 体积 小 ， 美观 时尚 是 [| 滚筒 洗衣机 |] 最 具有 优势 的 地方 。 而且 一级 能效 产品 ， 使用 起来 节能 效果 也 是 非常 明显 。 美的 参考价格 元 分享
8	奢侈品 电 商 因 货源 问题 酝酿 转型 搜狐 “ 去年 ， 我们 还 能 保持 约 的 毛利 ， 现在 依靠 传统 奢侈品 来 维持 这 个 利润 水平 已经 比较 难 ， 所以 想 试水 红酒 的 电 商 市场 。 ” 奢华 街 市场部 经理 王珏 一边 说 ， 一边 指 指 办公室 隔壁 ， 那 是 近 平方米 的 办公区 ， 将 成为 奢华 街 未来 的 红酒 展厅 。 奢华 街 是 一家 位于 深圳 罗湖区 莲塘 互联网 产业园 的 中等 规模 的 奢侈品 电 商 。 近年 电 商 概念 持续 升温 ， 奢侈品 电 商 作为 其中 针对 高端 细分 市场 的 业态 ， 在 年 到 年 经历 过 一 轮 高歌 猛进 的 大跃进 时代 。 然而 ， 年 下半年 开始 风云突变 ， 呼 哈 网 欠薪 、 走秀 网 裁员 、 尊 酷网 离职 、 网易 尚品 关停 等 阴影 笼罩 着 奢侈品 电 商 行业 。 于是 ， 一 批 奢侈品 电 商 开始 酝酿 转型 ： 走秀 网 正 朝着 “ 大众 时尚 ” 方向 走 ， 尚品 网 则 打 出 “ 正 价 授权 ” 的 高端 时尚 概念 ， 而 佳品 网 已 改口 称 自己 为 时尚 名品 电 商 。 在 王珏 眼里 ， 行业 遭遇 寒流 ， 很 大 程度 上 是 因为 货源 问题 。 “ 做 奢侈品 如果 不 做 一线 品牌 等于 没 做 ， 但 说实话 ， 一线 品牌 做 起来 既 有 风险 ， 又 缺乏 持续性 。 ” 她 不无 忧虑 地 说 。 事实上 ， 一线 品牌 不 待见 的 情况 ， 从 奢侈品 电 商 诞生 起 就 已经 存在 。 据 了解 ， 以上 的 奢侈品 品牌 不会 授权 国内 任何 电 商 卖 他们 的 商品 ， 而且 例如 爱马仕 、 、 卡地亚 等 一线 品牌 对 下游 的 销售 渠道 管控 相当 严格 ， 基本 不 允许 货品 外流 。 王珏 举 了 一个 例子 ： “ 我们 曾 购进 过 一 批 卡地亚 的 钻戒 ， 但 卡地亚 方面 获悉 后 ， 竟然 向 我们 出价 ， 将 钻戒 回购 。 ” 在 此 背景 下 ， 一些 奢侈品 电 商 不得 不 通过 “ 买 手 ” 拿 货 。 所谓 买 手 ， 就是 在 境外 采购 高档 品牌 ， 再 转手 出货 给 电 商 的 人 。 那么 ， 买 手 亦 需要 赚取 一部分 利润 。 再 加上 运 回 国内 的 各种 税费 ， 如此 一来 ， 电 商 的 利润 空间 自然 小 得 可怜 。 不过 ， 奢华 街 的 货源 来自 另 一 渠道 。 王珏 透露 ， 在 美国 经常 会 有 奢侈品 拍卖会 ， 但 这些 拍卖会 进场 门槛 非常 高 ， 一般 进场费 需 万 美元 。 “ 我们 的 货源 之一 就是 通过 拍卖会 大举 拿 货 。 这样 有 一个 明显 的 优势 ， 就是 免去 了 中间商 的 利润 ， 相对 而 言 利润 空间 大 ， 也 有利 于 保持 价格 优势 。 ” 奢华 街 的 货源 渠道 ， 得益 于 其 幕后 老板 。 王珏 介绍 ， 老板 早年 做 珠宝 生意 起家 ， 早已 举家 移民 美国 ， 在 当地 奢侈品 圈子 有 比较 稳定 的 人脉 。 对 奢侈品 电 商 而 言 ， 最 致命 的 是 供应链 不 掌握 在 其 手 中 。 货源 渠道 的 混乱 加上 电 商 网站 的 良莠不齐 ， 导致 网上 出售 的 奢侈品 鱼龙混杂 ， 商品 真伪 和 质量 无法 保证 ， 无法 得到 消费者 的 信任 ， 这 也 进一步 加剧 了 品牌 商 尤其 是 一线 品牌 的 “ 歧视 ” 。 因此 ， 一些 知名 的 奢侈品 电 商 纷纷 酝酿 转型 ， 有 像 奢华 街 这样 试水 红酒 等 新 产品 的 ， 也 有 寻觅 欧洲 或 北美 的 二 三 线 品牌 玩 “ 大众 时尚 ” 的 。 不过 ， 欧美 的 二 三 线 品牌 知名度 不 高 ， 价格 却 不 低 ， 短期 内 尚 难 形成 销量 。 分享
9	万 像素 双模 核 酷派 大观 评测 搜狐 数码 年 可谓 是 国产 高性能 手机 推出 最为 密集 的 一 年 ， 在 众多 国际 老牌 手机 厂商 的 光景 都 不及 昔日 之际 ， 国内 的 很 多 手机 厂商 却 是 另 一番 景象 ， 它们 推出 的 新 产品 不仅 在 性能 上 可以 与 国际 大 品牌 的 机型 匹敌 ， 在 外观 设计 和 选材 上 也 向 前后 者 靠拢 ， 所以 ， 今年 也许 就是 众多 [| 国产 手机 |] 支持者 所 期待 的 “ [| 国产 手机 |] 崛起 年 ” 。 评测 评测 酷派 大观 纵观 如今 的 手机 市场 ， 不少 国内 手机 品牌 都 推出 了 旗下 的 首款 四核 机型 ， 但 今年 新品 也 不少 的 酷派 却 迟迟 未有 四核 机型 发布 ， 尽管 如此 ， 很 多 消费者 还是 希望 慢 工 出 细活 的 。 在 月 号 的 时候 ， 酷派 联手 中国 电信 发布 了 旗下 首款 四核 手机 ， 名 为 大观 ， 除了 处理器 外 ， 该 机 的 万 摄像头 、 考究 的 机身 设计 和 可扩展性 等 也 是 重要 卖点 ， 这 让 不少 中国 电信 的 用户 期待 。 配置 简评 作为 酷派 年度 的 旗舰 之 作 ， 大观 的 配置 比较 高 ， 其 搭载 了 的 [| 四核 处理器 |] ， 且 内 建 一个 的 协 核心 ， 后 者 能 在 手机 处于 低 负荷 状态 时 发挥 重要 作用 ， 从而 提高 手机 的 续航 能力 。 手机 的 运行 内存 为 ， 这 是 四核 机型 的 标准 配置 ， 而 在 方面 达到 。 宋体 酷派 大观 参数 四核 （ 内 有 一个 的 协 核心 ） ， 支持 储存卡 扩展 屏幕 英寸 分辨率 摄像头 万 像素 背 照 式 后 置 万 像素 前置 补光灯 操作系统 机身尺寸 电池 （ 不 可 拆卸 ） 网络 双卡 双待 卡 类型 标准卡 官方 价格 元 酷派 大观 配备 了 英寸 的 显示屏 ， 分辨率 为 中高端 机型 中 常见 。 在 摄像头 方面 ， 手机 后 置 的 为 万 像素 ， 且 采用 了 背 照 式 传感器 ， 表现 不俗 ， 而 前置 的 为 万 像素 。 手机 的 电池 为 不 可 更换 设计 ， 容量 为 ， 另一方面 ， 在 官方 供应 的 智能 [| 扩展 背夹 |] 中 内置 的 电池 ， 后 文 会 有 相应 简介 。 一 、 正面 与 细节 大观 提供 黑白 两 种 颜色 供 不同 人群 选择 ， 而 笔者 这次 拿 到 的 机型 为 黑色版 ， 该 颜色 的 机型 给 人 的 感觉 雍容华贵 ， 时尚 却 透露 着 商务 气息 ， 符合 多数 职场 人士 的 审美观 。 酷派 大观 评测 酷派 大观 评测 机身 正面 酷派 大观 评测 酷派 大观 评测 正面 细节 手机 的 超 狭 边框 是 机身 设计 当中 的 一 大 亮点 ， 这种 设计 加强 了 屏幕 给 人 的 视觉 冲击力 ， 同时 也 增强 了 美观性 ， 使 机身 的 线条感 更为 强烈 。 酷派 大观 评测 酷派 大观 评测 机身 顶部 酷派 大观 评测 酷派 大观 评测 机身 底部 机身 的 弧度 设计 还是 比较 有 特色 的 ， 握 着 手机 操作 时 能 给 人 一 种 独特 的 舒适感 。 酷派 大观 评测 酷派 大观 评测 机身 侧面 手机 侧面 有 一个 静音 键 ， 这 在 手机 当中 不 多 见 ， 但 这 对于 商务 人士 来 讲 在 某些 情况 下 是 很 有用 的 。 总 的 来 讲 ， 即使 是 屏幕 达到 英寸 ， 但 得益 于超 窄 边框 的 应用 和 不错 的 做工 ， 大观 给 人 的 握持 感 也 是 不错 的 ， 单手 操作 手机 一般 都 没有 什么 问题 。 点评 赢 [| 智能 手机 |] 大奖 满 评 ： 美女 撞 僵尸 安卓 精品 ： 松饼 骑士 江南 美女 的 性感 诱惑 精彩 推荐 原创 汉化 拍照 神器 让 你 的 变 单反 精品 休闲 游戏 续 作 宝石迷阵 本周 热门 游戏 更新 汇总 总 有 你 喜欢 的 爆料 ！ 传言 苹果 已经 开始 准备 生产 [| 手机 贴膜 |] 知 多少 ？ 详解 哪 种 类型 最 适合 你 教 你 解决 手机 内存 空间 不足 的 问题 近期 最 热门 的 五十 多 款 游戏 玩 爆 你 的 手机 《 葵花宝典 》 之 手机 设置 宝典 下 一 页 文本 导航 第 页 酷派 评测 配置 简评 正面 与 细节 第 页 酷派 评测 背面 与 细节 屏幕 效果 第 页 酷派 评测 深度 美化 的 系统 第 页 酷派 评测 优秀 的 拍摄 性能 第 页 酷派 评测 跑 分 续航 总结 分享
